138, 136, 115
140, 131, 113
133, 127, 104
93, 90, 82
57, 64, 74
196, 201, 194
97, 104, 108
142, 141, 136
165, 160, 139
137, 130, 109
142, 142, 133
36, 38, 50
144, 134, 124
171, 141, 105
156, 150, 134
126, 123, 118
97, 96, 92
27, 28, 22
75, 65, 53
80, 67, 51
107, 100, 91
109, 82, 65
163, 189, 206
162, 145, 125
126, 150, 169
71, 65, 54
142, 107, 109
83, 78, 74
93, 89, 80
119, 92, 70
45, 40, 36
102, 94, 83
94, 73, 54
160, 187, 205
138, 122, 97
109, 110, 104
86, 61, 46
153, 180, 201
72, 71, 72
78, 57, 42
223, 210, 201
75, 91, 107
142, 134, 114
