144, 29, 36
132, 31, 37
146, 30, 39
137, 43, 44
54, 11, 21
247, 97, 109
255, 64, 69
166, 23, 25
193, 43, 52
139, 28, 41
252, 57, 71
240, 74, 100
169, 26, 28
143, 34, 34
146, 60, 61
84, 14, 18
131, 39, 42
109, 23, 27
236, 73, 92
223, 59, 84
158, 32, 36
122, 29, 33
183, 27, 38
253, 65, 87
156, 29, 46
249, 62, 79
102, 22, 28
235, 44, 62
171, 35, 41
154, 29, 35
189, 37, 45
140, 39, 43
104, 27, 35
204, 35, 48
184, 37, 45
129, 33, 40
208, 50, 64
206, 49, 66
156, 34, 47
255, 76, 100
204, 38, 52
224, 40, 45
175, 29, 38
248, 70, 94
110, 23, 31
185, 40, 52
154, 41, 47
237, 68, 88
154, 27, 38
140, 30, 38
